# Q-01 検査標本 100 件(seed=20260825)。偽陽性なら is_false_positive 列に 1 を書く。判定は人間が行う
surface	pos	is_false_positive	context
パリー	名詞		パリーはいまさらのようにドイツ密偵部員の潜略に
きらきら	副詞		貧困からなる過失をあわれむもののように、きらきらとその目に玉なす露すらも宿しながら、いと
バター	名詞		す。皮はゆでたジャガ芋の裏漉しにしたのへバターと玉子の黄身を入てよくよく混ぜて塩胡椒で
ポカポカ	副詞		まれている歌子にはとうてい勝てない。結局ポカポカぶん殴られてしまう。その日のお天気次第で
ごとごと	副詞		父の自転車が、ごとごとと砂利道をころがって来るのを見ると、彼は
ぽろり	副詞		と、昨夜来わたしを苦しめていた下歯一枚がぽろりと抜け落ちた。私は直ぐにそれを摘んで白菜
ごたごた	名詞		備態勢がととのわなかったからである。そのごたごたしている最中へ、山伏が二人の孤児を連れて
パチパチ	副詞		孵化った生物のように、息を詰めて眼ばかりパチパチさして、口の中でオズオズと舌を動かしてい
ぶよぶよ	副詞		ろ、と云っても、何うせ妾は御飯のように、ぶよぶよしていますわ、と、泣いたり、あれは、マヨ
いらいら	名詞		敵を手もとまでもぐりこませてしまってただいらいらとあせるだけだった。そういう破目になると
のそり	副詞		だかもしれぬと思うと、いま頭に手を置いてのそりのそりと歩いてゆく、墓場への旅人に冥福の
ぼつぼつ	副詞		ぼつぼつ料理が運ばれ出すと、松江はいち早く立ちあ
べろべろ	副詞		「また、こんなべろべろ、いやになってしまうな」
バター	名詞		つけた。大きな、粒の揃ったみごとな蛤で、バターいためにしたらさぞ美味かろうと思い、近よ
グズグズ	副詞		中には日を経ると傷む者も有りますので猶更グズグズは仕て居られません」彼「御尤も、夫では宜
バター	名詞		は紹介する。三沢と呼ばれる男は、糠パンにバターを塗っていた手をとめて、こちらへむきなお
ゆさゆさ	副詞		たのでは、唯車が躍って菰が魂の有るようにゆさゆさと揺るのが見えたばかりで、他には何も見え
ピンピン	副詞		見て、その早いのに驚ろいた。指頭に触れるピンピンいう音が、秒を刻む袂時計の音と錯綜して、
カラカラ	形状詞		姉がまだ言い終らぬうちから、妹はカラカラと小気味よげに笑いつづけた。九太夫も小さ
ニタニタ	副詞		シェードの蔭になった醜怪な人間豹の顔で、ニタニタと笑った。
ちらちら	副詞		。志ある者は、悉くそう考えている。京師でちらちら聞いた。この君を擁立して、幕府を倒そうと
とんとん	副詞		け。じいっと耳を澄ましていると、ととん、とんとん、ととんと初午のたいこのような雪解けの音
ニヤニヤ	副詞		ら、さまざまの宝石を瓔珞みたいに下げて、ニヤニヤ笑っているかと思うと、円盤投げの日本青年
おどおど	副詞		の少年、勇吉は、どうしていいかわからず、おどおどとしていました。父は、彼が三つばかりのと
ぶすっ	副詞		米や麦などを持って来るのだった。相変らずぶすっとして、あまり口もきかず莨ばかりふかして
どしどし	副詞		の上がるのも構わずに、糠る海の中を自暴にどしどし歩きました。それから直ぐ宅へ帰って来まし
ザクザク	副詞		今朝猫の額のような畠の角で、霜解けの土をザクザク踏みながら、白い手を泥だらけにして、しき
ゆるゆる	形状詞		かりで、おまえらも腹がすいているだろう。ゆるゆると煎じてやるから、まずめしでも食べな。―
くどくど	副詞		十二三歳で底が知れてしまったと思い、又、くどくど口説かれるのも肚が立つ。
ぎろり	副詞		こう言って津村検事は、相手の顔をぎろりと眺めた。この“ぎろり”は津村検事に特有
ぽつん	副詞		金五郎は、ぽつんと、投げすてるように、一言いったきりであ
まごまご	副詞		り大き過ぎるので、何処へ坐ったらいいのかまごまごした。
ザワザワ	副詞		かに描くということができません。ガヤガヤザワザワとおしゃべりはするし、中には歌をうたい出
ぱくぱく	副詞		と由子が、いつ眼を覚ましたのか、何か口をぱくぱくさせながら手を振って見せていた。それが、
ずんずん	副詞		は――それだけの才もあるのだろうが、――ずんずん出世してゆくのに、又四郎ひとりだけはいつ
ごみごみ	副詞		米の私にいろいろ親切に教えてくれて、このごみごみした一郭を自分の生活の地盤だと思え、自分
どきん	副詞		と私は言った。誠一はどきんとしたらしく、目を開いて私を見た。私は言
モジモジ	副詞		おかしいほど丁寧に頭を下げて、モジモジした。
ぴいん	副詞		ぴいんと頭へ来たことがあるから、
ぶるぶる	副詞		「へん、ぶるぶると。嬉しがるんだ。このとんちき」
スルスル	副詞		綱のついた小さなかごが、スルスルとおりてきました。小林少年が、いわれるま
ニコニコ	副詞		集っていた人々に、愛想よく会釈しながら、ニコニコして担いでいったそうです」ともう一人の紳
ぱちぱち	副詞		燥ぎきった廂にぱちぱちと音がして、二時ごろ雨が降って来た。その
むずむず	副詞		くれているのだ。さっきから、腕が鳴って、むずむずしている。
よろよろ	副詞		いてか、チラッと振返るようにしながら再びよろよろと闇の中へ掻き消えてしまった。真ッ蒼で、
ぶらり	副詞		仕入れてきて、二人でやっていると、そこへぶらりと大物が現われた。横浜から田中英光が一升
とろん	副詞		というと、武億はとろんこの眼を睡そうに瞬きながら、
べらべら	副詞		「何を何時までべらべら喋舌てるんだい」と磯は矢張お源の方は向な
