# O-2 濁音ミニマルペアの選別ワークシート(2026-08-25 生成・39 組)
# corresponds 列に 1(意味的に対応する真の濁音対)/ 0(偶然の同音対)を書く
# 判定基準: 清音側と濁音側が同じ事象を指し、濁音化だけが質感を変えているか
清音	頻度	濁音	頻度	corresponds	清音の用例	濁音の用例
すらすら	181	ずらずら	12		素姓の意外はとにかくとして、すらすらと書き流した字のうまさ。じつにみごとです。	目いろを変えて、十八人がずらずらと並びながら、先を争ってむしゃぶりつきました。
するする	179	ずるずる	200		客車に乗ってからも、お島は窓の前に立って、元気よく話を交えていたが、そのうちに汽車がするする出て行っ	少年工は息を弾ませながら言った。そして、ずるずるっと青黒い洟汁を啜り上げた。
たらたら	112	だらだら	140		「呀ッ。――これはいけない。ホウあのようにジュリアの衣裳の上から血がタラタラと滴れる！」	小野田も怒りだして、そこにあった水差を取ってお島に投げつけた。彼女の御召の小袖から、水がだらだらと垂
とろとろ	74	どろどろ	180		もう何んにも見えなくなった。トロトロトロトロと脳の中で、何かがとろけるような気持ちがした。	朝、青梅街道の入口の飯屋へ行った。熱いお茶を呑んでいると、ドロドロに汚れた労働者が駈け込むように這入
とんとん	227	どんどん	625		正勝はとんとんと露台へ上がっていった。	西山さんは手を振りきってどんどん列車の方に行く。婆やはそのすぐあとから楽々と跟いていくことができた。
はらはら	329	ばらばら	505		「いくらお辞儀が嫌いだって、あんなこと言っちゃ可けねえ」後で小野田がはらはらしたように言出した。	二三人の人が、ばらばらと後を追って来たとき、お島は自分の部屋で、夢中で着物をぬいでいた。
はりはり	5	ばりばり	62		静寂な闇の中に、やがてハリハリと杉の枯れ葉の燃える音がした。続いて枯れ柴のパチパチと燃え上がる音がし	係りの大谷検事は、当時所謂バリバリの検事だった。検事の問に対して伯爵は警察で申し立てた通りの答えをし
ひらひら	244	びらびら	5		いつ用意したとも知れないそんな言葉が、ひらひらとひらめいた。――	海水浴場案内のビラが、いまは寒気にビラビラしていて、駅の前を行く女達の薄着の裾が帆のようにふくれ上っ
ひりひり	50	びりびり	59		「水はないか。目が廻ったんだ。咽喉がひりひりする」	と云う。閉込んだ硝子窓がびりびりと鳴って、青空へ灰汁を湛えて、上から揺って沸立たせるような凄まじい風
ふうふう	50	ぶうぶう	19		見ると、先に這入った豚吉は葱と豆腐のお汁を熱い御飯にかけて、フウフウ云いながら一生懸命で掻き込んでい	と、ぶうぶう云っていたのが、今でも、眼の中にある。
ふらふら	593	ぶらぶら	512		こういいながら彼は、またふらふらとその店を出た。	「お上さんの家では、お上さんが大層な働きもので、お亭主はぶらぶら遊んでいるというじゃないか」男たちは
ふりふり	23	ぶりぶり	16		袋探偵は、頭をふりふり病院を出ていった。	彫りも見ごと、啖呵も見事、背いちめんの野晒し彫りに、ぶりぶりと筋肉の波を打たせて、ぐいと大きくあぐら
ふわふわ	128	ぶわぶわ	7		「あの、ふわふわしている地を固めて、日本の国を作りあげよ」	
ふんふん	10	ぶんぶん	45		「――（小森屋の酒は上等。）ふんふん、ああたのもしい。何じゃ、（但し半分は水。）……と、はてな……？	と云って、砂糖の包を投げてやった。熊蜂共はブンブンと喜んで、
へらへら	74	べらべら	91		この海女の前に、へらへら踊があった。黄色い手拭で、頬冠りをして	姉は健三の腹にない事まで一人合点でべらべら喋舌った。
へろへろ	7	べろべろ	20		みみずの鳴いたような、細い呻きを鼻血といっしょに洩らして、若い男は柳の樹の下へヘロヘロと仆れた。	讓の口元から頬にかけて鬼魅悪い暖な舌がべろべろとやって来た。
ほやほや	18	ぼやぼや	23		「宗匠、手帳を出して棒読みは恐れ入る。縁起を記した額面を写し立のホヤホヤでは無いかね」	「ホールだ、ホールだ。お客様が待ってる、何をボヤボヤしてるんだ。踊った、踊った」
ほろほろ	78	ぼろぼろ	231		お島はつんと顔を外向けたが、涙がほろほろと頬へ流れた。	お島は口惜しそうにぼろぼろ涙を流しながら言った。
もくもく	52	もぐもぐ	55		と言葉を切ると、佐柄木もバットを一本抜き火をつけるのだった。潰れた鼻の孔から、佐柄木はもくもくと煙を	そんなことを言いながらそれを眼窩へあててもぐもぐとしていたが、
もそもそ	18	もぞもぞ	44		――おや、あすこだな、起きているな。そういえば、何だか、もそもそ、話しごえがしていやがる。厄介な――	お庄は膝へ乗っかって来る猫を気味悪がって、尻をもぞもぞさせていると、女は長火鉢の向うからじろじろ見て
